Complexity metrics,terça, 7 nov. 2023 10:24:59 WET
Method,CogC,ev(G),iv(G),v(G)
net.sf.freecol.FreeCol.handleArgs(String[]),96,1,59,70
"net.sf.freecol.FreeCol.loadSpecification(FreeColModFile, Advantages, String)",3,1,4,4
net.sf.freecol.FreeCol.main(String[]),31,1,24,26
"net.sf.freecol.FreeCol.printUsage(Options, int)",0,1,1,1
net.sf.freecol.FreeCol.processSpecialOptions(),18,1,8,8
net.sf.freecol.FreeCol.quit(int),0,1,1,1
net.sf.freecol.FreeCol.readVersion(JarURLConnection),1,1,2,2
net.sf.freecol.FreeCol.selectAdvantages(String),1,1,2,2
net.sf.freecol.FreeCol.selectDifficulty(String),1,1,2,2
net.sf.freecol.FreeCol.selectEuropeanCount(String),2,2,2,3
net.sf.freecol.FreeCol.setAdvantages(Advantages),0,1,1,1
net.sf.freecol.FreeCol.setDifficulty(OptionGroup),0,1,1,1
net.sf.freecol.FreeCol.setDifficulty(String),0,1,1,1
net.sf.freecol.FreeCol.setEuropeanCount(int),0,1,1,1
net.sf.freecol.FreeCol.setHeadless(boolean),0,1,1,1
net.sf.freecol.FreeCol.setLocale(String),5,2,4,4
net.sf.freecol.FreeCol.setMetaServer(String),4,2,4,6
net.sf.freecol.FreeCol.setName(String),0,1,1,1
net.sf.freecol.FreeCol.setRules(String),0,1,1,1
net.sf.freecol.FreeCol.setServerAddress(String),2,2,1,3
net.sf.freecol.FreeCol.setServerPort(String),2,2,1,3
net.sf.freecol.FreeCol.setTc(String),0,1,1,1
net.sf.freecol.FreeCol.setTimeout(String),2,1,1,3
net.sf.freecol.FreeCol.setWindowSize(String),6,1,3,4
net.sf.freecol.FreeCol.startClient(),13,1,5,5
net.sf.freecol.FreeCol.startServer(),17,3,9,10
net.sf.freecol.FreeCol.startTestClient(Specification),0,1,1,1
"net.sf.freecol.FreeCol.trace(Logger, String)",0,1,1,1
net.sf.freecol.client.AllTests.suite(),0,1,1,1
net.sf.freecol.client.ClientOptions.ClientOptions(),0,1,1,1
"net.sf.freecol.client.ClientOptions.addBooleanOption(String, String, boolean)",1,1,2,2
"net.sf.freecol.client.ClientOptions.addIntegerOption(String, String, int)",1,1,2,2
"net.sf.freecol.client.ClientOptions.addOptionGroup(String, String)",1,1,2,2
"net.sf.freecol.client.ClientOptions.addPercentageOption(String, String, int)",1,1,2,2
"net.sf.freecol.client.ClientOptions.addRangeOption(String, String, int, Map<Integer, String>)",3,1,3,3
"net.sf.freecol.client.ClientOptions.addTextOption(String, String, String)",1,1,2,2
net.sf.freecol.client.ClientOptions.fixClientOptions(),5,1,6,6
net.sf.freecol.client.ClientOptions.getActiveMods(),1,1,2,2
net.sf.freecol.client.ClientOptions.getColonyComparator(),0,1,1,1
net.sf.freecol.client.ClientOptions.getColonyComparatorInternal(int),3,5,2,7
net.sf.freecol.client.ClientOptions.getDisplayTileText(),0,1,1,1
net.sf.freecol.client.ClientOptions.getModelMessageComparator(Game),1,2,1,3
net.sf.freecol.client.ClientOptions.getPanelPosition(String),2,1,3,3
net.sf.freecol.client.ClientOptions.getPanelSize(String),2,1,3,3
net.sf.freecol.client.ClientOptions.getSpecialOptions(),2,1,2,3
net.sf.freecol.client.ClientOptions.getXMLTagName(),0,1,1,1
net.sf.freecol.client.ClientOptions.isRiverAnimationEnabled(),1,1,2,2
net.sf.freecol.client.ClientOptions.isTerrainAnimationsEnabled(),1,1,2,2
net.sf.freecol.client.ClientOptions.load(FreeColSavegameFile),3,2,2,4
net.sf.freecol.client.ClientOptions.merge(File),1,2,1,2
net.sf.freecol.client.ClientOptions.merge(FreeColSavegameFile),1,2,1,2
"net.sf.freecol.client.ClientOptions.regroup(String, String)",1,1,2,2
"net.sf.freecol.client.ClientTestHelper.startClient(FreeColServer, Specification)",0,1,1,1
net.sf.freecol.client.ClientTestHelper.stopClient(FreeColClient),0,1,1,1
"net.sf.freecol.client.FreeColClient.FreeColClient(SplashScreen, String, Dimension, String, boolean, boolean, File, ...)",20,1,13,15
net.sf.freecol.client.FreeColClient.addSpecificationActions(Specification),0,1,1,1
net.sf.freecol.client.FreeColClient.askServer(),0,1,1,1
net.sf.freecol.client.FreeColClient.askToQuit(),4,1,3,3
net.sf.freecol.client.FreeColClient.canSaveCurrentGame(),2,1,3,3
net.sf.freecol.client.FreeColClient.changeClientState(boolean),0,1,1,1
net.sf.freecol.client.FreeColClient.continuePlaying(),0,1,1,1
net.sf.freecol.client.FreeColClient.currentPlayerIsMyPlayer(),1,1,4,4
"net.sf.freecol.client.FreeColClient.failToMain(Exception, String)",0,1,1,1
"net.sf.freecol.client.FreeColClient.failToMain(Exception, StringTemplate)",3,1,3,3
net.sf.freecol.client.FreeColClient.getActionManager(),0,1,1,1
net.sf.freecol.client.FreeColClient.getAnimationSpeed(Player),3,1,2,3
net.sf.freecol.client.FreeColClient.getClientOptions(),0,1,1,1
net.sf.freecol.client.FreeColClient.getConnectController(),0,1,1,1
net.sf.freecol.client.FreeColClient.getFreeColServer(),0,1,1,1
net.sf.freecol.client.FreeColClient.getGUI(),0,1,1,1
net.sf.freecol.client.FreeColClient.getGame(),0,1,1,1
net.sf.freecol.client.FreeColClient.getInGameController(),0,1,1,1
net.sf.freecol.client.FreeColClient.getMapEditorController(),0,1,1,1
net.sf.freecol.client.FreeColClient.getMyPlayer(),0,1,1,1
net.sf.freecol.client.FreeColClient.getPreGameController(),0,1,1,1
net.sf.freecol.client.FreeColClient.getServerState(),1,1,2,2
net.sf.freecol.client.FreeColClient.getSinglePlayer(),0,1,1,1
net.sf.freecol.client.FreeColClient.getSoundController(),0,1,1,1
net.sf.freecol.client.FreeColClient.getVacantPlayerNames(),0,1,1,1
net.sf.freecol.client.FreeColClient.isAdmin(),1,1,2,2
net.sf.freecol.client.FreeColClient.isInGame(),0,1,1,1
net.sf.freecol.client.FreeColClient.isLoggedIn(),0,1,1,1
net.sf.freecol.client.FreeColClient.isMapEditor(),0,1,1,1
net.sf.freecol.client.FreeColClient.isReadyToStart(),2,2,2,3
net.sf.freecol.client.FreeColClient.loadClientOptions(File),6,1,6,6
"net.sf.freecol.client.FreeColClient.login(boolean, Game, Player, boolean)",1,1,2,2
net.sf.freecol.client.FreeColClient.logout(boolean),0,1,1,1
net.sf.freecol.client.FreeColClient.overrideDefaultUncaughtExceptionHandler(),9,1,5,5
net.sf.freecol.client.FreeColClient.quit(),2,1,3,3
net.sf.freecol.client.FreeColClient.restoreGUI(Player),2,1,2,3
net.sf.freecol.client.FreeColClient.retire(),1,1,2,2
net.sf.freecol.client.FreeColClient.setFreeColServer(FreeColServer),0,1,1,1
net.sf.freecol.client.FreeColClient.setGame(Game),0,1,1,1
net.sf.freecol.client.FreeColClient.setMapEditor(boolean),0,1,1,1
net.sf.freecol.client.FreeColClient.setMessageHandler(MessageHandler),0,1,1,1
net.sf.freecol.client.FreeColClient.setMyPlayer(Player),0,1,1,1
net.sf.freecol.client.FreeColClient.setServerState(ServerState),0,1,1,1
net.sf.freecol.client.FreeColClient.setSinglePlayer(boolean),0,1,1,1
net.sf.freecol.client.FreeColClient.setVacantPlayerNames(List<String>),0,1,1,1
net.sf.freecol.client.FreeColClient.skipTurns(int),2,3,2,3
"net.sf.freecol.client.FreeColClient.startFirstTaskInGui(String, boolean, File, Specification)",18,1,7,7
"net.sf.freecol.client.FreeColClient.startServer(boolean, boolean, File, InetAddress, int, String)",5,2,6,6
"net.sf.freecol.client.FreeColClient.startServer(boolean, boolean, Specification, InetAddress, int)",2,2,3,3
net.sf.freecol.client.FreeColClient.stopServer(),1,1,2,2
net.sf.freecol.client.FreeColClient.toggleClientOption(String),0,1,1,1
net.sf.freecol.client.FreeColClient.tutorialMode(),0,1,1,1
net.sf.freecol.client.FreeColClient.unblockServer(int),3,3,2,3
net.sf.freecol.client.FreeColClient.updateActions(),0,1,1,1
net.sf.freecol.client.control.AllTests.suite(),0,1,1,1
net.sf.freecol.client.control.ClientInputHandler.ClientInputHandler(FreeColClient),0,1,1,1
"net.sf.freecol.client.control.ClientInputHandler.handle(Connection, Message)",0,1,1,1
net.sf.freecol.client.control.ClientInputHandler.read(Connection),0,1,1,1
net.sf.freecol.client.control.ConnectController.ConnectController(FreeColClient),0,1,1,1
"net.sf.freecol.client.control.ConnectController.connect(String, String, int)",4,2,3,4
"net.sf.freecol.client.control.ConnectController.joinMultiplayerGame(String, int)",10,4,4,9
"net.sf.freecol.client.control.ConnectController.login(ServerState, Game, String, boolean, boolean)",10,2,7,9
net.sf.freecol.client.control.ConnectController.logout(LogoutReason),9,1,4,8
net.sf.freecol.client.control.ConnectController.mainTitle(),6,2,5,6
net.sf.freecol.client.control.ConnectController.newGame(),4,3,4,5
"net.sf.freecol.client.control.ConnectController.requestLogin(String, String, String, int)",4,4,2,4
net.sf.freecol.client.control.ConnectController.requestLogout(LogoutReason),8,2,5,6
"net.sf.freecol.client.control.ConnectController.startMultiplayerGame(Specification, boolean, InetAddress, int)",3,3,2,4
net.sf.freecol.client.control.ConnectController.startSavedGame(File),15,4,8,12
net.sf.freecol.client.control.ConnectController.startSinglePlayerGame(Specification),3,2,3,4
net.sf.freecol.client.control.FreeColClientHolder.FreeColClientHolder(FreeColClient),0,1,1,1
net.sf.freecol.client.control.FreeColClientHolder.askServer(),0,1,1,1
net.sf.freecol.client.control.FreeColClientHolder.currentPlayerIsMyPlayer(),0,1,1,1
net.sf.freecol.client.control.FreeColClientHolder.getClientOptions(),0,1,1,1
net.sf.freecol.client.control.FreeColClientHolder.getConnectController(),0,1,1,1
net.sf.freecol.client.control.FreeColClientHolder.getFreeColClient(),0,1,1,1
net.sf.freecol.client.control.FreeColClientHolder.getFreeColServer(),0,1,1,1
net.sf.freecol.client.control.FreeColClientHolder.getGUI(),0,1,1,1
net.sf.freecol.client.control.FreeColClientHolder.getGame(),0,1,1,1
net.sf.freecol.client.control.FreeColClientHolder.getMap(),1,1,2,2
net.sf.freecol.client.control.FreeColClientHolder.getMyPlayer(),0,1,1,1
net.sf.freecol.client.control.FreeColClientHolder.getSpecification(),1,1,2,2
net.sf.freecol.client.control.FreeColClientHolder.igc(),0,1,1,1
net.sf.freecol.client.control.FreeColClientHolder.pgc(),0,1,1,1
net.sf.freecol.client.control.InGameController.InGameController(FreeColClient),0,1,1,1
net.sf.freecol.client.control.InGameController.MoveMode.maximize(MoveMode),1,1,1,2
net.sf.freecol.client.control.InGameController.MoveMode.minimize(MoveMode),1,1,1,2
net.sf.freecol.client.control.InGameController.abandonColony(Colony),4,2,6,7
net.sf.freecol.client.control.InGameController.addPlayerHandler(List<Player>),0,1,1,1
"net.sf.freecol.client.control.InGameController.animateAttackHandler(Unit, Unit, Tile, Tile, boolean)",0,1,1,1
"net.sf.freecol.client.control.InGameController.animateMoveHandler(Unit, Tile, Tile)",0,1,1,1
"net.sf.freecol.client.control.InGameController.askAssignTradeRoute(Unit, TradeRoute)",6,4,4,6
"net.sf.freecol.client.control.InGameController.askClaimTile(Player, Tile, FreeColGameObject, int)",7,4,4,7
net.sf.freecol.client.control.InGameController.askClearGotoOrders(Unit),2,2,2,3
"net.sf.freecol.client.control.InGameController.askEmbark(Unit, Unit)",4,2,5,5
"net.sf.freecol.client.control.InGameController.askEmigrate(Europe, int)",4,2,4,5
"net.sf.freecol.client.control.InGameController.askLoadGoods(Location, GoodsType, int, Unit)",9,6,4,8
"net.sf.freecol.client.control.InGameController.askSetDestination(Unit, Location)",2,2,2,3
"net.sf.freecol.client.control.InGameController.askUnloadGoods(GoodsType, int, Unit)",2,2,2,3
"net.sf.freecol.client.control.InGameController.assignTeacher(Unit, Unit)",4,2,13,14
"net.sf.freecol.client.control.InGameController.assignTradeRoute(Unit, TradeRoute)",2,2,2,3
"net.sf.freecol.client.control.InGameController.attackRanged(Unit, Tile)",3,2,4,5
net.sf.freecol.client.control.InGameController.autoSaveGame(),15,2,7,9
"net.sf.freecol.client.control.InGameController.boardShip(Unit, Unit)",3,2,7,8
net.sf.freecol.client.control.InGameController.buildColony(Unit),22,8,12,18
"net.sf.freecol.client.control.InGameController.buyGoods(GoodsType, int, Unit)",3,2,7,8
"net.sf.freecol.client.control.InGameController.changeState(Unit, UnitState)",15,7,11,15
net.sf.freecol.client.control.InGameController.changeView(Tile),3,1,2,2
"net.sf.freecol.client.control.InGameController.changeView(Unit, boolean)",0,1,1,1
"net.sf.freecol.client.control.InGameController.changeWorkImprovementType(Unit, TileImprovementType)",7,2,11,12
"net.sf.freecol.client.control.InGameController.changeWorkType(Unit, GoodsType)",4,2,4,5
net.sf.freecol.client.control.InGameController.chat(String),1,2,1,2
"net.sf.freecol.client.control.InGameController.chatHandler(String, String, Color, boolean)",0,1,1,1
net.sf.freecol.client.control.InGameController.checkCashInTreasureTrain(Unit),12,4,9,11
"net.sf.freecol.client.control.InGameController.chooseFoundingFather(List<FoundingFather>, FoundingFather)",2,3,1,3
net.sf.freecol.client.control.InGameController.chooseFoundingFatherHandler(List<FoundingFather>),2,2,2,3
"net.sf.freecol.client.control.InGameController.claimTile(Tile, FreeColGameObject)",7,2,6,8
net.sf.freecol.client.control.InGameController.clearGotoOrders(Unit),3,2,3,4
net.sf.freecol.client.control.InGameController.clearOrders(Unit),6,3,5,7
net.sf.freecol.client.control.InGameController.clearSpeciality(Unit),8,4,6,9
"net.sf.freecol.client.control.InGameController.closeColony(Colony, boolean)",2,1,2,2
net.sf.freecol.client.control.InGameController.closeHandler(String),0,1,1,1
"net.sf.freecol.client.control.InGameController.continueIgnoreMessage(String, Turn)",2,1,4,4
net.sf.freecol.client.control.InGameController.declareIndependence(),5,5,6,9
net.sf.freecol.client.control.InGameController.deleteTradeRoute(TradeRoute),1,1,2,2
"net.sf.freecol.client.control.InGameController.diplomacyHandler(FreeColGameObject, FreeColGameObject, DiplomaticTrade)",10,1,5,8
net.sf.freecol.client.control.InGameController.disbandUnit(Unit),10,4,8,11
"net.sf.freecol.client.control.InGameController.displayChat(String, String, Color, boolean)",0,1,1,1
"net.sf.freecol.client.control.InGameController.displayModelMessages(boolean, boolean)",12,1,9,9
net.sf.freecol.client.control.InGameController.displayTurnReportMessages(),0,1,1,1
net.sf.freecol.client.control.InGameController.doEndTurn(boolean),15,6,8,11
net.sf.freecol.client.control.InGameController.doExecuteGotoOrders(),16,7,8,13
"net.sf.freecol.client.control.InGameController.emigrate(Player, int, int, boolean)",3,2,4,5
"net.sf.freecol.client.control.InGameController.emigration(Player, int, boolean)",7,5,4,6
net.sf.freecol.client.control.InGameController.endTurn(boolean),2,2,2,3
"net.sf.freecol.client.control.InGameController.equipUnitForRole(Unit, Role, int)",26,10,15,20
"net.sf.freecol.client.control.InGameController.error(StringTemplate, String)",0,1,1,1
"net.sf.freecol.client.control.InGameController.errorHandler(StringTemplate, String)",0,1,1,1
net.sf.freecol.client.control.InGameController.executeGotoOrders(),2,2,2,3
"net.sf.freecol.client.control.InGameController.featureChangeHandler(FreeColGameObject, List<FreeColObject>, boolean)",31,1,12,15
net.sf.freecol.client.control.InGameController.fireChanges(ObjectWas...),5,1,3,3
"net.sf.freecol.client.control.InGameController.firstContact(Player, Player, Tile, boolean)",3,2,2,5
"net.sf.freecol.client.control.InGameController.firstContactHandler(Player, Player, Tile, int)",0,1,1,1
"net.sf.freecol.client.control.InGameController.followTradeRoute(Unit, List<ModelMessage>)",48,11,22,25
net.sf.freecol.client.control.InGameController.fountainOfYouthHandler(int),0,1,1,1
net.sf.freecol.client.control.InGameController.gameEndedHandler(String),0,1,1,1
"net.sf.freecol.client.control.InGameController.getMissionaryChoice(Unit, IndianSettlement, Direction)",12,2,5,8
"net.sf.freecol.client.control.InGameController.getNationAt(Tile, Direction)",3,1,3,3
net.sf.freecol.client.control.InGameController.getSaveGameString(Game),0,1,1,1
"net.sf.freecol.client.control.InGameController.getSettlementAt(Tile, Direction)",0,1,1,1
"net.sf.freecol.client.control.InGameController.goToTile(Unit, PathNode)",4,3,5,7
net.sf.freecol.client.control.InGameController.highScore(Boolean),3,1,1,3
"net.sf.freecol.client.control.InGameController.highScoresHandler(String, List<HighScore>)",0,1,1,1
"net.sf.freecol.client.control.InGameController.ignoreMessage(ModelMessage, boolean)",6,2,4,5
"net.sf.freecol.client.control.InGameController.inciteHandler(Unit, IndianSettlement, Player, int)",6,1,4,4
"net.sf.freecol.client.control.InGameController.indianDemandHandler(Unit, Colony, GoodsType, int)",8,1,3,7
net.sf.freecol.client.control.InGameController.invokeLater(Runnable),0,1,1,1
net.sf.freecol.client.control.InGameController.joinColony(Unit),3,1,5,5
net.sf.freecol.client.control.InGameController.leaveShip(Unit),4,2,5,6
"net.sf.freecol.client.control.InGameController.loadCargo(Goods, Unit)",8,5,9,11
net.sf.freecol.client.control.InGameController.loadGame(),5,3,4,6
"net.sf.freecol.client.control.InGameController.loadUnitAtStop(Unit, LogBuilder)",66,8,36,39
"net.sf.freecol.client.control.InGameController.logoutHandler(Player, LogoutReason)",3,2,3,4
"net.sf.freecol.client.control.InGameController.lootCargo(Unit, List<Goods>, String)",3,2,5,6
"net.sf.freecol.client.control.InGameController.lootCargoHandler(Unit, List<Goods>, String)",0,1,1,1
"net.sf.freecol.client.control.InGameController.monarchAction(MonarchAction, boolean)",3,2,2,4
"net.sf.freecol.client.control.InGameController.monarchActionHandler(MonarchAction, StringTemplate, String)",0,1,1,1
"net.sf.freecol.client.control.InGameController.moveAttack(Unit, Direction)",4,2,5,6
"net.sf.freecol.client.control.InGameController.moveAttackSettlement(Unit, Direction)",18,4,9,13
"net.sf.freecol.client.control.InGameController.moveAutoload(Unit, List<Unit>)",6,3,4,5
"net.sf.freecol.client.control.InGameController.moveAwayFromEurope(Unit, Location)",4,1,6,6
"net.sf.freecol.client.control.InGameController.moveDiplomacy(Unit, Direction, DiplomaticTrade)",3,3,2,3
"net.sf.freecol.client.control.InGameController.moveDirection(Unit, Direction, boolean)",54,1,23,60
"net.sf.freecol.client.control.InGameController.moveDisembark(Unit, Direction)",15,3,8,10
"net.sf.freecol.client.control.InGameController.moveEmbark(Unit, Direction)",10,5,7,9
"net.sf.freecol.client.control.InGameController.moveExplore(Unit, Direction)",5,3,5,5
"net.sf.freecol.client.control.InGameController.moveHighSeas(Unit, Direction)",8,5,10,10
"net.sf.freecol.client.control.InGameController.moveLearnSkill(Unit, Direction)",14,1,9,9
"net.sf.freecol.client.control.InGameController.movePath(Unit, PathNode)",22,10,10,11
"net.sf.freecol.client.control.InGameController.moveScoutColony(Unit, Direction)",3,5,3,6
"net.sf.freecol.client.control.InGameController.moveScoutIndianSettlement(Unit, Direction)",7,4,5,9
"net.sf.freecol.client.control.InGameController.moveSpy(Unit, Direction)",3,1,3,3
"net.sf.freecol.client.control.InGameController.moveTile(Unit, Direction)",15,4,16,18
"net.sf.freecol.client.control.InGameController.moveTo(Unit, Location)",13,8,10,11
"net.sf.freecol.client.control.InGameController.moveToDestination(Unit, List<ModelMessage>)",19,1,15,15
"net.sf.freecol.client.control.InGameController.moveTowardEurope(Unit, Europe)",1,1,2,2
"net.sf.freecol.client.control.InGameController.moveTrade(Unit, Direction)",4,4,3,4
"net.sf.freecol.client.control.InGameController.moveTribute(Unit, int, Direction)",1,2,2,2
"net.sf.freecol.client.control.InGameController.moveUnit(Unit, Direction)",8,3,10,12
"net.sf.freecol.client.control.InGameController.moveUseMissionary(Unit, Direction)",1,2,1,2
"net.sf.freecol.client.control.InGameController.nameNewRegion(Tile, Unit, Region, String)",2,2,1,4
net.sf.freecol.client.control.InGameController.nationSummary(Player),3,4,2,4
"net.sf.freecol.client.control.InGameController.nationSummaryHandler(Player, NationSummary)",0,1,1,1
"net.sf.freecol.client.control.InGameController.nativeTrade(NativeTrade, TradeAction, NativeTradeItem, StringTemplate)",36,9,10,17
"net.sf.freecol.client.control.InGameController.nativeTradeHandler(NativeTradeAction, NativeTrade)",3,3,2,13
"net.sf.freecol.client.control.InGameController.newLandName(Unit, String)",3,3,1,4
"net.sf.freecol.client.control.InGameController.newLandNameHandler(Unit, String)",3,1,2,3
"net.sf.freecol.client.control.InGameController.newRegionName(Region, Tile, Unit, String)",2,2,1,4
"net.sf.freecol.client.control.InGameController.newRegionNameHandler(Region, Tile, Unit, String)",16,1,5,6
net.sf.freecol.client.control.InGameController.newTradeRoute(Player),3,2,3,4
net.sf.freecol.client.control.InGameController.newTradeRouteHandler(TradeRoute),0,1,1,1
net.sf.freecol.client.control.InGameController.newTurn(int),3,2,4,4
net.sf.freecol.client.control.InGameController.newTurnHandler(int),0,1,1,1
net.sf.freecol.client.control.InGameController.nextActiveUnit(),1,2,1,2
net.sf.freecol.client.control.InGameController.nextModelMessage(),0,1,1,1
"net.sf.freecol.client.control.InGameController.partialHandler(FreeColGameObject, Map<String, String>)",7,1,6,7
net.sf.freecol.client.control.InGameController.payArrears(GoodsType),7,5,5,8
net.sf.freecol.client.control.InGameController.payForBuilding(Colony),7,5,6,8
net.sf.freecol.client.control.InGameController.putOutsideColony(Unit),5,3,5,7
net.sf.freecol.client.control.InGameController.reapIgnoredMessages(Turn),0,1,1,1
net.sf.freecol.client.control.InGameController.reconnect(),3,1,2,2
net.sf.freecol.client.control.InGameController.reconnectHandler(),0,1,1,1
net.sf.freecol.client.control.InGameController.recruitUnitInEurope(int),5,4,4,6
"net.sf.freecol.client.control.InGameController.removeHandler(List<FreeColGameObject>, FreeColGameObject)",14,1,9,9
net.sf.freecol.client.control.InGameController.rename(Nameable),13,10,9,11
net.sf.freecol.client.control.InGameController.requireOurTurn(),2,2,2,3
net.sf.freecol.client.control.InGameController.saveAndQuit(),1,2,1,2
net.sf.freecol.client.control.InGameController.saveGame(),5,5,4,7
net.sf.freecol.client.control.InGameController.saveGame(File),4,2,3,4
"net.sf.freecol.client.control.InGameController.scoutSpeakToChiefHandler(Unit, IndianSettlement, String)",1,1,1,6
net.sf.freecol.client.control.InGameController.selectDestination(Unit),17,4,7,10
net.sf.freecol.client.control.InGameController.sellGoods(Goods),3,2,4,5
"net.sf.freecol.client.control.InGameController.setAIHandler(Player, boolean)",0,1,1,1
"net.sf.freecol.client.control.InGameController.setBuildQueue(Colony, List<BuildableType>)",3,2,4,5
net.sf.freecol.client.control.InGameController.setCurrentPlayer(Player),17,1,11,11
net.sf.freecol.client.control.InGameController.setCurrentPlayerHandler(Player),0,1,1,1
net.sf.freecol.client.control.InGameController.setDead(),12,4,6,7
net.sf.freecol.client.control.InGameController.setDeadHandler(Player),2,1,2,2
