Lines of code metrics,Wed, 8 Nov 2023 04:59:54 WET
Method,CLOC,JLOC,LOC,NCLOC,RLOC
net.sf.freecol.client.FreeColClient.getServerState(),4,5,9,4,1.03%
net.sf.freecol.client.FreeColClient.getSinglePlayer(),4,6,9,3,1.03%
net.sf.freecol.client.FreeColClient.getSoundController(),4,5,8,3,0.92%
net.sf.freecol.client.FreeColClient.getVacantPlayerNames(),4,5,8,3,0.92%
net.sf.freecol.client.FreeColClient.isAdmin(),4,5,8,3,0.92%
net.sf.freecol.client.FreeColClient.isInGame(),4,5,8,3,0.92%
net.sf.freecol.client.FreeColClient.isLoggedIn(),4,5,8,3,0.92%
net.sf.freecol.client.FreeColClient.isMapEditor(),4,5,8,3,0.92%
net.sf.freecol.client.FreeColClient.isReadyToStart(),4,5,10,5,1.14%
net.sf.freecol.client.FreeColClient.loadClientOptions(File),15,17,46,28,5.26%
"net.sf.freecol.client.FreeColClient.login(boolean, Game, Player, boolean)",6,10,23,13,2.63%
net.sf.freecol.client.FreeColClient.logout(boolean),8,7,15,6,1.72%
net.sf.freecol.client.FreeColClient.overrideDefaultUncaughtExceptionHandler(),2,0,24,22,2.75%
net.sf.freecol.client.FreeColClient.quit(),4,3,22,18,2.52%
net.sf.freecol.client.FreeColClient.restoreGUI(Player),4,5,10,5,1.14%
net.sf.freecol.client.FreeColClient.retire(),3,3,11,8,1.26%
net.sf.freecol.client.FreeColClient.setFreeColServer(FreeColServer),5,7,10,3,1.14%
net.sf.freecol.client.FreeColClient.setGame(Game),4,6,9,3,1.03%
net.sf.freecol.client.FreeColClient.setMapEditor(boolean),4,5,8,3,0.92%
net.sf.freecol.client.FreeColClient.setMessageHandler(MessageHandler),5,6,9,3,1.03%
net.sf.freecol.client.FreeColClient.setMyPlayer(Player),4,7,10,3,1.14%
net.sf.freecol.client.FreeColClient.setServerState(ServerState),4,5,8,3,0.92%
net.sf.freecol.client.FreeColClient.setSinglePlayer(boolean),4,5,8,3,0.92%
net.sf.freecol.client.FreeColClient.setVacantPlayerNames(List<String>),4,5,9,4,1.03%
net.sf.freecol.client.FreeColClient.skipTurns(int),4,5,15,10,1.72%
"net.sf.freecol.client.FreeColClient.startFirstTaskInGui(String, boolean, File, Specification)",20,0,49,33,5.61%
"net.sf.freecol.client.FreeColClient.startServer(boolean, boolean, File, InetAddress, int, String)",4,11,41,30,4.69%
"net.sf.freecol.client.FreeColClient.startServer(boolean, boolean, Specification, InetAddress, int)",4,11,29,18,3.32%
net.sf.freecol.client.FreeColClient.stopServer(),5,5,12,7,1.37%
net.sf.freecol.client.FreeColClient.toggleClientOption(String),4,5,9,4,1.03%
net.sf.freecol.client.FreeColClient.tutorialMode(),4,5,8,3,0.92%
net.sf.freecol.client.FreeColClient.unblockServer(int),4,6,15,9,1.72%
net.sf.freecol.client.FreeColClient.updateActions(),4,4,7,3,0.80%
net.sf.freecol.client.control.AllTests.suite(),2,0,7,5,77.78%
net.sf.freecol.client.control.ClientInputHandler.ClientInputHandler(FreeColClient),4,5,8,3,25.81%
"net.sf.freecol.client.control.ClientInputHandler.handle(Connection, Message)",3,3,8,5,25.81%
net.sf.freecol.client.control.ClientInputHandler.read(Connection),3,3,7,4,22.58%
net.sf.freecol.client.control.ConnectController.ConnectController(FreeColClient),4,5,8,3,1.66%
"net.sf.freecol.client.control.ConnectController.connect(String, String, int)",4,9,30,21,6.21%
"net.sf.freecol.client.control.ConnectController.joinMultiplayerGame(String, int)",18,7,55,37,11.39%
"net.sf.freecol.client.control.ConnectController.login(ServerState, Game, String, boolean, boolean)",27,28,57,28,11.80%
net.sf.freecol.client.control.ConnectController.logout(LogoutReason),20,6,66,48,13.66%
net.sf.freecol.client.control.ConnectController.mainTitle(),5,5,21,16,4.35%
net.sf.freecol.client.control.ConnectController.newGame(),3,3,19,16,3.93%
"net.sf.freecol.client.control.ConnectController.requestLogin(String, String, String, int)",11,12,35,18,7.25%
net.sf.freecol.client.control.ConnectController.requestLogout(LogoutReason),5,7,25,17,5.18%
"net.sf.freecol.client.control.ConnectController.startMultiplayerGame(Specification, boolean, InetAddress, int)",5,9,27,18,5.59%
net.sf.freecol.client.control.ConnectController.startSavedGame(File),8,6,88,78,18.22%
net.sf.freecol.client.control.ConnectController.startSinglePlayerGame(Specification),12,8,29,16,6.00%
net.sf.freecol.client.control.FreeColClientHolder.FreeColClientHolder(FreeColClient),4,5,8,3,6.56%
net.sf.freecol.client.control.FreeColClientHolder.askServer(),4,5,8,3,6.56%
net.sf.freecol.client.control.FreeColClientHolder.currentPlayerIsMyPlayer(),4,5,8,3,6.56%
net.sf.freecol.client.control.FreeColClientHolder.getClientOptions(),4,5,8,3,6.56%
net.sf.freecol.client.control.FreeColClientHolder.getConnectController(),4,5,8,3,6.56%
net.sf.freecol.client.control.FreeColClientHolder.getFreeColClient(),4,5,8,3,6.56%
net.sf.freecol.client.control.FreeColClientHolder.getFreeColServer(),4,5,8,3,6.56%
net.sf.freecol.client.control.FreeColClientHolder.getGUI(),4,5,8,3,6.56%
net.sf.freecol.client.control.FreeColClientHolder.getGame(),4,5,8,3,6.56%
net.sf.freecol.client.control.FreeColClientHolder.getMap(),4,5,9,4,7.38%
net.sf.freecol.client.control.FreeColClientHolder.getMyPlayer(),4,5,8,3,6.56%
net.sf.freecol.client.control.FreeColClientHolder.getSpecification(),4,5,9,4,7.38%
net.sf.freecol.client.control.FreeColClientHolder.igc(),4,5,8,3,6.56%
net.sf.freecol.client.control.FreeColClientHolder.pgc(),4,5,8,3,6.56%
net.sf.freecol.client.control.InGameController.InGameController(FreeColClient),7,5,11,3,0.23%
net.sf.freecol.client.control.InGameController.MoveMode.maximize(MoveMode),0,0,3,3,20.00%
net.sf.freecol.client.control.InGameController.MoveMode.minimize(MoveMode),0,0,3,3,20.00%
net.sf.freecol.client.control.InGameController.abandonColony(Colony),7,8,22,13,0.46%
net.sf.freecol.client.control.InGameController.addPlayerHandler(List<Player>),4,5,8,3,0.17%
"net.sf.freecol.client.control.InGameController.animateAttackHandler(Unit, Unit, Tile, Tile, boolean)",4,9,16,7,0.33%
"net.sf.freecol.client.control.InGameController.animateMoveHandler(Unit, Tile, Tile)",4,7,12,5,0.25%
"net.sf.freecol.client.control.InGameController.askAssignTradeRoute(Unit, TradeRoute)",4,7,15,8,0.31%
"net.sf.freecol.client.control.InGameController.askClaimTile(Player, Tile, FreeColGameObject, int)",10,9,33,23,0.68%
net.sf.freecol.client.control.InGameController.askClearGotoOrders(Unit),5,7,13,6,0.27%
"net.sf.freecol.client.control.InGameController.askEmbark(Unit, Unit)",4,7,21,14,0.44%
"net.sf.freecol.client.control.InGameController.askEmigrate(Europe, int)",7,10,21,11,0.44%
"net.sf.freecol.client.control.InGameController.askLoadGoods(Location, GoodsType, int, Unit)",8,9,34,21,0.71%
"net.sf.freecol.client.control.InGameController.askSetDestination(Unit, Location)",4,7,12,5,0.25%
"net.sf.freecol.client.control.InGameController.askUnloadGoods(GoodsType, int, Unit)",6,8,19,9,0.39%
"net.sf.freecol.client.control.InGameController.assignTeacher(Unit, Unit)",6,9,31,22,0.64%
"net.sf.freecol.client.control.InGameController.assignTradeRoute(Unit, TradeRoute)",7,10,20,10,0.41%
"net.sf.freecol.client.control.InGameController.attackRanged(Unit, Tile)",2,0,13,11,0.27%
net.sf.freecol.client.control.InGameController.autoSaveGame(),8,5,44,36,0.91%
"net.sf.freecol.client.control.InGameController.boardShip(Unit, Unit)",7,10,21,11,0.44%
net.sf.freecol.client.control.InGameController.buildColony(Unit),17,8,69,51,1.43%
"net.sf.freecol.client.control.InGameController.buyGoods(GoodsType, int, Unit)",7,11,29,18,0.60%
"net.sf.freecol.client.control.InGameController.changeState(Unit, UnitState)",9,9,36,25,0.75%
net.sf.freecol.client.control.InGameController.changeView(Tile),4,5,14,9,0.29%
"net.sf.freecol.client.control.InGameController.changeView(Unit, boolean)",4,7,10,3,0.21%
"net.sf.freecol.client.control.InGameController.changeWorkImprovementType(Unit, TileImprovementType)",7,9,34,24,0.71%
"net.sf.freecol.client.control.InGameController.changeWorkType(Unit, GoodsType)",6,9,20,11,0.41%
net.sf.freecol.client.control.InGameController.chat(String),6,8,15,7,0.31%
"net.sf.freecol.client.control.InGameController.chatHandler(String, String, Color, boolean)",4,8,12,4,0.25%
net.sf.freecol.client.control.InGameController.checkCashInTreasureTrain(Unit),8,9,40,31,0.83%
"net.sf.freecol.client.control.InGameController.chooseFoundingFather(List<FoundingFather>, FoundingFather)",5,7,20,12,0.41%
net.sf.freecol.client.control.InGameController.chooseFoundingFatherHandler(List<FoundingFather>),4,5,11,6,0.23%
"net.sf.freecol.client.control.InGameController.claimTile(Tile, FreeColGameObject)",6,9,28,19,0.58%
net.sf.freecol.client.control.InGameController.clearGotoOrders(Unit),7,9,19,10,0.39%
net.sf.freecol.client.control.InGameController.clearOrders(Unit),7,9,27,18,0.56%
net.sf.freecol.client.control.InGameController.clearSpeciality(Unit),9,8,40,29,0.83%
"net.sf.freecol.client.control.InGameController.closeColony(Colony, boolean)",4,6,13,7,0.27%
net.sf.freecol.client.control.InGameController.closeHandler(String),4,5,8,3,0.17%
"net.sf.freecol.client.control.InGameController.continueIgnoreMessage(String, Turn)",5,8,16,8,0.33%
net.sf.freecol.client.control.InGameController.declareIndependence(),10,7,33,23,0.68%
net.sf.freecol.client.control.InGameController.deleteTradeRoute(TradeRoute),6,8,14,6,0.29%
"net.sf.freecol.client.control.InGameController.diplomacyHandler(FreeColGameObject, FreeColGameObject, DiplomaticTrade)",7,7,54,47,1.12%
net.sf.freecol.client.control.InGameController.disbandUnit(Unit),8,8,27,17,0.56%
"net.sf.freecol.client.control.InGameController.displayChat(String, String, Color, boolean)",4,8,13,5,0.27%
"net.sf.freecol.client.control.InGameController.displayModelMessages(boolean, boolean)",4,7,41,34,0.85%
net.sf.freecol.client.control.InGameController.displayTurnReportMessages(),3,3,6,3,0.12%
net.sf.freecol.client.control.InGameController.doEndTurn(boolean),14,5,52,37,1.08%
net.sf.freecol.client.control.InGameController.doExecuteGotoOrders(),16,6,57,41,1.18%
"net.sf.freecol.client.control.InGameController.emigrate(Player, int, int, boolean)",4,8,15,7,0.31%
"net.sf.freecol.client.control.InGameController.emigration(Player, int, boolean)",12,14,27,13,0.56%
net.sf.freecol.client.control.InGameController.endTurn(boolean),6,7,13,6,0.27%
"net.sf.freecol.client.control.InGameController.equipUnitForRole(Unit, Role, int)",14,10,73,56,1.51%
"net.sf.freecol.client.control.InGameController.error(StringTemplate, String)",4,6,9,3,0.19%
"net.sf.freecol.client.control.InGameController.errorHandler(StringTemplate, String)",4,6,9,3,0.19%
net.sf.freecol.client.control.InGameController.executeGotoOrders(),6,8,13,5,0.27%
"net.sf.freecol.client.control.InGameController.featureChangeHandler(FreeColGameObject, List<FreeColObject>, boolean)",4,7,51,44,1.06%
net.sf.freecol.client.control.InGameController.fireChanges(ObjectWas...),4,5,12,7,0.25%
"net.sf.freecol.client.control.InGameController.firstContact(Player, Player, Tile, boolean)",4,10,19,9,0.39%
"net.sf.freecol.client.control.InGameController.firstContactHandler(Player, Player, Tile, int)",4,9,15,6,0.31%
"net.sf.freecol.client.control.InGameController.followTradeRoute(Unit, List<ModelMessage>)",27,9,137,108,2.84%
net.sf.freecol.client.control.InGameController.fountainOfYouthHandler(int),4,5,8,3,0.17%
net.sf.freecol.client.control.InGameController.gameEndedHandler(String),4,5,11,6,0.23%
"net.sf.freecol.client.control.InGameController.getMissionaryChoice(Unit, IndianSettlement, Direction)",5,7,41,33,0.85%
"net.sf.freecol.client.control.InGameController.getNationAt(Tile, Direction)",8,11,23,12,0.48%
net.sf.freecol.client.control.InGameController.getSaveGameString(Game),5,6,16,10,0.33%
"net.sf.freecol.client.control.InGameController.getSettlementAt(Tile, Direction)",6,9,12,3,0.25%
"net.sf.freecol.client.control.InGameController.goToTile(Unit, PathNode)",7,9,24,14,0.50%
net.sf.freecol.client.control.InGameController.highScore(Boolean),6,9,13,4,0.27%
"net.sf.freecol.client.control.InGameController.highScoresHandler(String, List<HighScore>)",4,6,10,4,0.21%
"net.sf.freecol.client.control.InGameController.ignoreMessage(ModelMessage, boolean)",7,10,24,14,0.50%
"net.sf.freecol.client.control.InGameController.inciteHandler(Unit, IndianSettlement, Player, int)",5,8,30,22,0.62%
"net.sf.freecol.client.control.InGameController.indianDemandHandler(Unit, Colony, GoodsType, int)",4,8,53,45,1.10%
net.sf.freecol.client.control.InGameController.invokeLater(Runnable),4,5,8,3,0.17%
net.sf.freecol.client.control.InGameController.joinColony(Unit),4,6,17,11,0.35%
net.sf.freecol.client.control.InGameController.leaveShip(Unit),8,9,24,14,0.50%
"net.sf.freecol.client.control.InGameController.loadCargo(Goods, Unit)",6,9,37,28,0.77%
net.sf.freecol.client.control.InGameController.loadGame(),9,8,29,20,0.60%
"net.sf.freecol.client.control.InGameController.loadUnitAtStop(Unit, LogBuilder)",36,7,218,189,4.52%
"net.sf.freecol.client.control.InGameController.logoutHandler(Player, LogoutReason)",4,6,16,10,0.33%
"net.sf.freecol.client.control.InGameController.lootCargo(Unit, List<Goods>, String)",6,10,21,11,0.44%
"net.sf.freecol.client.control.InGameController.lootCargoHandler(Unit, List<Goods>, String)",4,7,12,5,0.25%
"net.sf.freecol.client.control.InGameController.monarchAction(MonarchAction, boolean)",6,9,25,16,0.52%
"net.sf.freecol.client.control.InGameController.monarchActionHandler(MonarchAction, StringTemplate, String)",4,7,14,7,0.29%
"net.sf.freecol.client.control.InGameController.moveAttack(Unit, Direction)",10,8,26,13,0.54%
"net.sf.freecol.client.control.InGameController.moveAttackSettlement(Unit, Direction)",8,8,46,36,0.95%
"net.sf.freecol.client.control.InGameController.moveAutoload(Unit, List<Unit>)",5,7,20,12,0.41%
"net.sf.freecol.client.control.InGameController.moveAwayFromEurope(Unit, Location)",6,7,27,18,0.56%
"net.sf.freecol.client.control.InGameController.moveDiplomacy(Unit, Direction, DiplomaticTrade)",6,9,25,14,0.52%
"net.sf.freecol.client.control.InGameController.moveDirection(Unit, Direction, boolean)",26,10,210,180,4.36%
"net.sf.freecol.client.control.InGameController.moveDisembark(Unit, Direction)",15,10,52,35,1.08%
"net.sf.freecol.client.control.InGameController.moveEmbark(Unit, Direction)",7,8,39,30,0.81%
"net.sf.freecol.client.control.InGameController.moveExplore(Unit, Direction)",9,8,30,19,0.62%
"net.sf.freecol.client.control.InGameController.moveHighSeas(Unit, Direction)",9,9,35,23,0.73%
"net.sf.freecol.client.control.InGameController.moveLearnSkill(Unit, Direction)",9,10,41,29,0.85%
"net.sf.freecol.client.control.InGameController.movePath(Unit, PathNode)",5,7,42,34,0.87%
"net.sf.freecol.client.control.InGameController.moveScoutColony(Unit, Direction)",9,11,38,27,0.79%
"net.sf.freecol.client.control.InGameController.moveScoutIndianSettlement(Unit, Direction)",11,11,44,31,0.91%
"net.sf.freecol.client.control.InGameController.moveSpy(Unit, Direction)",4,7,16,9,0.33%
"net.sf.freecol.client.control.InGameController.moveTile(Unit, Direction)",17,8,56,37,1.16%
"net.sf.freecol.client.control.InGameController.moveTo(Unit, Location)",9,10,38,26,0.79%
"net.sf.freecol.client.control.InGameController.moveToDestination(Unit, List<ModelMessage>)",19,9,69,51,1.43%
"net.sf.freecol.client.control.InGameController.moveTowardEurope(Unit, Europe)",4,7,15,8,0.31%
"net.sf.freecol.client.control.InGameController.moveTrade(Unit, Direction)",6,8,28,20,0.58%
"net.sf.freecol.client.control.InGameController.moveTribute(Unit, int, Direction)",7,8,27,16,0.56%
"net.sf.freecol.client.control.InGameController.moveUnit(Unit, Direction)",8,10,30,19,0.62%
"net.sf.freecol.client.control.InGameController.moveUseMissionary(Unit, Direction)",5,8,15,7,0.31%
"net.sf.freecol.client.control.InGameController.nameNewRegion(Tile, Unit, Region, String)",6,11,16,5,0.33%
net.sf.freecol.client.control.InGameController.nationSummary(Player),8,9,20,10,0.41%
"net.sf.freecol.client.control.InGameController.nationSummaryHandler(Player, NationSummary)",4,6,12,6,0.25%
"net.sf.freecol.client.control.InGameController.nativeTrade(NativeTrade, TradeAction, NativeTradeItem, StringTemplate)",8,8,102,91,2.12%
"net.sf.freecol.client.control.InGameController.nativeTradeHandler(NativeTradeAction, NativeTrade)",7,6,95,89,1.97%
"net.sf.freecol.client.control.InGameController.newLandName(Unit, String)",9,9,34,22,0.71%
"net.sf.freecol.client.control.InGameController.newLandNameHandler(Unit, String)",4,6,11,5,0.23%
"net.sf.freecol.client.control.InGameController.newRegionName(Region, Tile, Unit, String)",4,9,14,5,0.29%
"net.sf.freecol.client.control.InGameController.newRegionNameHandler(Region, Tile, Unit, String)",4,8,31,23,0.64%
net.sf.freecol.client.control.InGameController.newTradeRoute(Player),7,9,17,8,0.35%
net.sf.freecol.client.control.InGameController.newTradeRouteHandler(TradeRoute),4,5,9,4,0.19%
net.sf.freecol.client.control.InGameController.newTurn(int),4,6,29,23,0.60%
net.sf.freecol.client.control.InGameController.newTurnHandler(int),4,5,8,3,0.17%
net.sf.freecol.client.control.InGameController.nextActiveUnit(),6,7,12,5,0.25%
net.sf.freecol.client.control.InGameController.nextModelMessage(),8,9,12,3,0.25%
"net.sf.freecol.client.control.InGameController.partialHandler(FreeColGameObject, Map<String, String>)",6,6,23,17,0.48%
net.sf.freecol.client.control.InGameController.payArrears(GoodsType),7,9,29,20,0.60%
net.sf.freecol.client.control.InGameController.payForBuilding(Colony),7,10,33,23,0.68%
net.sf.freecol.client.control.InGameController.putOutsideColony(Unit),6,8,24,16,0.50%
net.sf.freecol.client.control.InGameController.reapIgnoredMessages(Turn),4,5,8,3,0.17%
net.sf.freecol.client.control.InGameController.reconnect(),7,7,20,13,0.41%
net.sf.freecol.client.control.InGameController.reconnectHandler(),3,3,6,3,0.12%
